n
      t                   u1                  u2
0.000000000         0.000000000        -0.412000000
0.010000000         0.000000000        -0.413711573
0.010000000         0.000000000        -0.413711573
0.012500000         0.002502549        -0.414062074
0.015000000         0.005007672        -0.414393738
0.020000000         0.010028294        -0.415020627
0.030000000         0.020111316        -0.416127498
0.040000000         0.030235878        -0.416929140
0.050000000         0.040401859        -0.417423561
0.060000000         0.050609040        -0.417608929
0.070000000         0.060857110        -0.417483581
0.080000000         0.071145655        -0.417046021
0.090000000         0.081474165        -0.416294934
0.100000000         0.091842025        -0.415229185
0.110000000         0.102248520        -0.413847826
0.120000000         0.112692829        -0.412150099
0.130000000         0.123174027        -0.410135443
0.140000000         0.133691081        -0.407803496
0.150000000         0.144242852        -0.405154096
0.160000000         0.154828093        -0.402187290
0.170000000         0.165445449        -0.398903333
0.180000000         0.176093454        -0.395302694
0.190000000         0.186770535        -0.391386055
0.200000000         0.197475010        -0.387154315
0.210000000         0.208205087        -0.382608593
0.220000000         0.218958866        -0.377750228
0.230000000         0.229734341        -0.372580781
0.240000000         0.240529395        -0.367102036
0.250000000         0.251341809        -0.361316000
0.260000000         0.262169258        -0.355224907
0.270000000         0.273009314        -0.348831210
0.280000000         0.283859446        -0.342137592
0.290000000         0.294717025        -0.335146954
0.300000000         0.305579327        -0.327862423
0.310000000         0.316443529        -0.320287346
0.320000000         0.327306719        -0.312425288
0.330000000         0.338165895        -0.304280034
0.340000000         0.349017970        -0.295855582
0.350000000         0.359859773        -0.287156146
0.360000000         0.370688056        -0.278186146
0.370000000         0.381499495        -0.268950211
0.380000000         0.392290696        -0.259453170
0.390000000         0.403058198        -0.249700055
0.400000000         0.413798477        -0.239696088
0.410000000         0.424507955        -0.229446684
0.420000000         0.435183000        -0.218957441
0.430000000         0.445819931        -0.208234136
0.440000000         0.456415029        -0.197282721
0.450000000         0.466964536        -0.186109316
0.460000000         0.477464664        -0.174720200
0.470000000         0.487911600        -0.163121811
0.480000000         0.498301512        -0.151320731
0.490000000         0.508630554        -0.139323684
0.500000000         0.518894874        -0.127137529
0.510000000         0.529090618        -0.114769249
0.520000000         0.539213938        -0.102225945
0.530000000         0.549260995        -0.089514827
0.540000000         0.559227970        -0.076643207
0.550000000         0.569111067        -0.063618490
0.560000000         0.578906519        -0.050448163
0.570000000         0.588610595        -0.037139788
0.580000000         0.598219608        -0.023700995
0.590000000         0.607729917        -0.010139467
0.600000000         0.617137937         0.003537064
0.610000000         0.626440140         0.017320829
0.620000000         0.635633067         0.031204030
0.630000000         0.644713327         0.045178851
0.640000000         0.653677609         0.059237468
0.650000000         0.662522682         0.073372055
0.660000000         0.671245400         0.087574799
0.670000000         0.679842712         0.101837905
0.680000000         0.688311660         0.116153606
0.690000000         0.696649390         0.130514175
0.700000000         0.704853151         0.144911930
0.710000000         0.712920299         0.159339248
0.720000000         0.720848304         0.173788570
0.730000000         0.728634752         0.188252410
0.740000000         0.736277346         0.202723366
0.750000000         0.743773912         0.217194124
0.760000000         0.751122397         0.231657472
0.770000000         0.758320878         0.246106302
0.780000000         0.765367555         0.260533621
0.790000000         0.772260762         0.274932554
0.800000000         0.778998960         0.289296356
0.810000000         0.785580743         0.303618417
0.820000000         0.792004838         0.317892266
0.830000000         0.798270103         0.332111576
0.840000000         0.804375530         0.346270175
0.850000000         0.810320243         0.360362045
0.860000000         0.816103496         0.374381331
0.870000000         0.821724679         0.388322343
0.880000000         0.827183307         0.402179558
0.890000000         0.832479026         0.415947631
0.900000000         0.837611611         0.429621388
0.910000000         0.842580959         0.443195836
0.920000000         0.847387095         0.456666165
0.930000000         0.852030160         0.470027744
0.940000000         0.856510419         0.483276132
0.950000000         0.860828250         0.496407069
0.960000000         0.864984147         0.509416485
0.970000000         0.868978712         0.522300497
0.980000000         0.872812657         0.535055409
0.990000000         0.876486798         0.547677712
\steps = 103
