        numOfIt             y1             y2             tk
              1          0.001      -0.412067    0.000395698
              2     0.00139586      -0.412134    0.000791239
              3     0.00179163        -0.4122     0.00118672
              4      0.0021874      -0.412266     0.00158213
              5     0.00258317      -0.412331     0.00197749
              6     0.00297895      -0.412396     0.00237278
              7     0.00337473       -0.41246     0.00276801
              8     0.00377051      -0.412524     0.00316318
              9     0.00416629      -0.412587     0.00355829
             10     0.00456208       -0.41265     0.00395334
             11     0.00495787      -0.412712     0.00434832
             12     0.00535366      -0.412774     0.00474324
             13     0.00574945      -0.412836      0.0051381
             14     0.00614525      -0.412897      0.0055329
             15     0.00654105      -0.412957     0.00592764
             16     0.00693685      -0.413017     0.00632232
             17     0.00733265      -0.413077     0.00671693
             18     0.00772846      -0.413136     0.00711148
             19     0.00812427      -0.413194     0.00750597
             20     0.00852008      -0.413252      0.0079004
             21     0.00891589       -0.41331     0.00829477
             22     0.00931171      -0.413367     0.00868908
             23     0.00970753      -0.413424     0.00908332
             24      0.0101033       -0.41348      0.0094775
             25      0.0104992      -0.413536     0.00987163
             26       0.010895      -0.413591      0.0102657
             27      0.0112908      -0.413645      0.0106597
             28      0.0116867        -0.4137      0.0110536
             29      0.0120825      -0.413753      0.0114475
             30      0.0124783      -0.413807      0.0118413
             31      0.0128742       -0.41386      0.0122351
             32        0.01327      -0.413912      0.0126288
             33      0.0136659      -0.413964      0.0130224
             34      0.0140617      -0.414015       0.013416
             35      0.0144575      -0.414066      0.0138095
             36      0.0148534      -0.414117      0.0142029
             37      0.0152493      -0.414167      0.0145963
             38      0.0156451      -0.414216      0.0149896
             39       0.016041      -0.414265      0.0153829
             40      0.0164368      -0.414314      0.0157761
             41      0.0168327      -0.414362      0.0161692
             42      0.0172286      -0.414409      0.0165623
             43      0.0176244      -0.414456      0.0169553
             44      0.0180203      -0.414503      0.0173483
             45      0.0184162      -0.414549      0.0177412
             46      0.0188121      -0.414595       0.018134
             47      0.0192079       -0.41464      0.0185268
             48      0.0196038      -0.414685      0.0189195
             49      0.0199997      -0.414729      0.0193122
             50      0.0203956      -0.414773      0.0197048
             51      0.0207915      -0.414816      0.0200973
             52      0.0211874      -0.414859      0.0204898
             53      0.0215833      -0.414901      0.0208822
             54      0.0219792      -0.414943      0.0212745
             55      0.0223751      -0.414984      0.0216668
             56       0.022771      -0.415025       0.022059
             57      0.0231669      -0.415066      0.0224512
             58      0.0235628      -0.415105      0.0228433
             59      0.0239587      -0.415145      0.0232354
             60      0.0243546      -0.415184      0.0236274
             61      0.0247505      -0.415222      0.0240193
             62      0.0251464       -0.41526      0.0244111
             63      0.0255423      -0.415298       0.024803
             64      0.0259383      -0.415335      0.0251947
             65      0.0263342      -0.415372      0.0255864
             66      0.0267301      -0.415408       0.025978
             67       0.027126      -0.415444      0.0263696
             68       0.027522      -0.415479      0.0267611
             69      0.0279179      -0.415513      0.0271525
             70      0.0283138      -0.415548      0.0275439
             71      0.0287098      -0.415581      0.0279352
             72      0.0291057      -0.415615      0.0283265
             73      0.0295017      -0.415647      0.0287177
             74      0.0298976       -0.41568      0.0291088
             75      0.0302935      -0.415712      0.0294999
             76      0.0306895      -0.415743      0.0298909
             77      0.0310855      -0.415774      0.0302819
             78      0.0314814      -0.415804      0.0306728
             79      0.0318774      -0.415834      0.0310636
             80      0.0322733      -0.415864      0.0314544
             81      0.0326693      -0.415893      0.0318451
             82      0.0330653      -0.415921      0.0322358
             83      0.0334612      -0.415949      0.0326264
             84      0.0338572      -0.415977       0.033017
             85      0.0342532      -0.416004      0.0334074
             86      0.0346491       -0.41603      0.0337979
             87      0.0350451      -0.416057      0.0341882
             88      0.0354411      -0.416082      0.0345785
             89      0.0358371      -0.416107      0.0349688
             90      0.0362331      -0.416132       0.035359
             91      0.0366291      -0.416156      0.0357491
             92       0.037025       -0.41618      0.0361392
             93       0.037421      -0.416203      0.0365292
             94       0.037817      -0.416226      0.0369191
             95       0.038213      -0.416248       0.037309
             96       0.038609       -0.41627      0.0376988
             97       0.039005      -0.416292      0.0380886
             98       0.039401      -0.416312      0.0384783
             99       0.039797      -0.416333       0.038868
            100       0.040193      -0.416353      0.0392575
            101      0.0405891      -0.416372      0.0396471
